RamanShift,Intensity
1512,1957.520081
1514,1879.320658
1516,1836.772458
1518,1758.929447
1520,1702.254053
1522,1666.683872
1524,1679.229913
1526,1604.118505
1528,1541.613639
1530,1510.543359
1532,1480.097397
1534,1448.276807
1536,1406.783916
1538,1365.654885
1540,1349.847981
1542,1317.543835
1544,1297.611524
1546,1258.134351
1548,1250.545749
1550,1210.462332
1552,1182.148495
1554,1179.08086
1556,1133.480413
1558,1117.276838
1560,1102.292275
1562,1073.015
1564,1025.056504
1566,1006.691295
1568,1019.325146
1570,993.7472652
1572,966.3114892
1574,978.2963037
1576,949.2939148
1578,934.7268374
1580,921.5881841
1582,899.3831524
1584,899.4518728
1586,871.9066567
1588,878.6166433
1590,850.8081622
1592,836.8982023
1594,838.6095742
1596,838.9280347
1598,847.0767169
1600,832.5711554
1602,836.0785221
1604,834.6565031
1606,829.6038862
1608,846.1572465
1610,843.1195976
1612,831.0549541
1614,873.0197196
1616,830.8747366
1618,850.9335129
1620,809.6875266
1622,816.9619103
1624,812.8360137
1626,798.0602723
1628,763.9574116
1630,767.8549587
1632,741.4658616
1634,741.2364356
1636,734.7463773
1638,739.6631328
1640,714.5209034
1642,711.0947175
1644,682.3949653
1646,677.4957986
1648,681.4983859
1650,666.1566357
1652,668.2755629
1654,664.0336702
1656,662.5374594
1658,668.9685004
1660,673.2347172
1662,656.0836721
1664,655.6728042
1666,670.3335646
1668,653.3255752
1670,651.1916626
1672,643.3584828
1674,648.0742025
1676,649.8028768
1678,642.9983026
1680,644.3883755
1682,655.906969
1684,650.2420046
1686,671.5652278
1688,636.6842782
1690,624.8239235
1692,650.3559018
1694,636.6598801
1696,614.8578305
1698,626.009372
1700,628.8125312
1702,614.1556801
1704,616.5118855
1706,635.5803305
1708,614.283006
1710,608.783404
1712,612.2912507
1714,588.5048546
1716,586.3275117
1718,579.082686
1720,570.28928
1722,556.1720972
1724,568.6413867
1726,561.3086994
1728,537.4929689
1730,537.1563876
1732,523.0428876
1734,520.1451123
1736,518.1430282
1738,507.8853771
1740,503.7141997
1742,498.9829693
1744,499.4934247
1746,498.1026368
1748,485.9796273
1750,499.8812136
1752,481.1988379
1754,470.5109205
1756,475.2984134
1758,467.7977783
1760,456.497228
1762,466.2610063
1764,467.4599897
1766,455.0436679
1768,437.5118815
1770,435.9601274
1772,451.3438575
1774,445.1755875
1776,440.0776805
1778,433.9830046
1780,417.0769355
1782,425.9194458
1784,412.9218577
1786,419.0196502
1788,395.8219092
1790,404.8342383
1792,399.6730989
1794,393.8509667
1796,392.6270349
1798,392.5229161
1800,402.5456405
1802,380.4977737
1804,375.7132593
1806,393.2255634
1808,380.5388959
1810,380.4374672
1812,401.271753
1814,385.7278585
1816,376.7017935
1818,375.7516768
1820,371.8107713
1822,389.6098245
1824,370.7068089
1826,367.6861886
1828,372.4101409
1830,380.8511084
1832,369.8409933
1834,365.5604258
1836,361.5135931
1838,367.5807266
1840,351.1185629
1842,358.6077026
1844,350.8866679
1846,358.2383961
1848,357.1213427
1850,359.4451864
1852,368.0751885
1854,359.6143716
1856,360.8656962
1858,336.5238659
1860,355.1110497
1862,353.8929952
1864,362.588467
1866,334.1710262
1868,340.7519409
1870,341.9295813
1872,350.7599463
1874,361.3010455
1876,361.7146965
1878,364.2426702
1880,351.0602177
1882,372.3751906
1884,347.4739067
1886,349.866113
1888,338.9828538
1890,325.6465693
1892,347.6775655
1894,358.1795534
1896,331.1780979
1898,332.1709961
1900,342.0047881
1902,345.0258282
1904,336.4828182
1906,318.9516248
1908,328.0235063
1910,308.6503638
1912,322.1061161
1914,324.3049472
1916,315.9181588
1918,300.4205216
1920,318.2634623
1922,319.7085919
1924,305.3342904
1926,307.9066398
1928,300.8129757
1930,284.7138236
1932,299.6328706
1934,297.4402136
1936,277.4252379
1938,277.7192618
1940,295.4838612
1942,282.8995443
1944,297.1235173
1946,280.215292
1948,273.9958752
1950,264.6667457
1952,276.8464009
1954,265.9757249
1956,275.2217879
1958,274.1739005
1960,278.2817226
1962,274.3860354
1964,275.2003582
1966,261.7463717
1968,262.9635506
1970,269.5694464
1972,261.178669
1974,250.1107114
1976,246.8994061
1978,250.9602845
1980,256.1843298
1982,244.8975719
1984,243.3582698
1986,224.2340024
1988,229.3603956
1990,231.4479348
1992,220.9213088
1994,216.5390101
1996,234.9428411
1998,215.005877
2000,227.0153686
