Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Raw data #1,Dark Subtracted #1
96,537.24,18613.61,183.39,3241,21573,18332
97,537.3,18611.69,185.3,3054,21530,18476
98,537.35,18609.78,187.21,2441,21053,18612
99,537.41,18607.87,189.13,2646,20994,18348
100,537.46,18605.96,191.04,3065,21336,18271
101,537.52,18604.04,192.95,3365,21224,17859
102,537.57,18602.13,194.86,3361,21785,18424
103,537.63,18600.22,196.77,2718,21206,18488
104,537.68,18598.31,198.68,2838,21293,18455
105,537.74,18596.4,200.59,2655,21411,18756
106,537.79,18594.49,202.5,3566,22043,18477
107,537.85,18592.59,204.41,2768,21200,18432
108,537.9,18590.68,206.31,3360,22190,18830
109,537.96,18588.77,208.22,3270,22190,18920
110,538.01,18586.87,210.13,3123,21819,18696
111,538.07,18584.96,212.03,3199,22059,18860
112,538.12,18583.05,213.94,3046,21764,18718
113,538.18,18581.15,215.84,2992,21901,18909
114,538.24,18579.24,217.75,2831,21827,18996
115,538.29,18577.34,219.65,3346,22125,18779
116,538.35,18575.44,221.56,2943,21807,18864
117,538.4,18573.53,223.46,2961,22039,19078
118,538.46,18571.63,225.36,3199,22407,19208
119,538.51,18569.73,227.26,3013,21830,18817
120,538.57,18567.83,229.16,3206,22101,18895
121,538.62,18565.93,231.06,2903,22251,19348
122,538.68,18564.03,232.96,3154,22249,19095
123,538.73,18562.13,234.86,2463,21678,19215
124,538.79,18560.23,236.76,3342,22749,19407
125,538.84,18558.33,238.66,3766,23185,19419
126,538.9,18556.43,240.56,2908,22130,19222
127,538.95,18554.54,242.46,2896,21986,19090
128,539.01,18552.64,244.35,3091,22472,19381
129,539.06,18550.74,246.25,3793,23116,19323
130,539.12,18548.85,248.15,3275,22454,19179
131,539.17,18546.95,250.04,3852,23497,19645
132,539.23,18545.06,251.94,3568,23196,19628
133,539.28,18543.16,253.83,3575,23163,19588
134,539.34,18541.27,255.72,3354,22744,19390
135,539.39,18539.37,257.62,2923,22743,19820
136,539.45,18537.48,259.51,3049,22774,19725
137,539.5,18535.59,261.4,3284,23288,20004
138,539.56,18533.7,263.29,2987,22803,19816
139,539.61,18531.81,265.18,3432,23342,19910
140,539.67,18529.92,267.08,3514,23293,19779
141,539.72,18528.03,268.97,2310,22154,19844
142,539.78,18526.14,270.85,3110,23004,19894
143,539.83,18524.25,272.74,2854,22374,19520
144,539.89,18522.36,274.63,3068,23129,20061
145,539.94,18520.47,276.52,3458,23296,19838
146,540,18518.59,278.41,3042,23108,20066
147,540.05,18516.7,280.29,3390,23559,20169
148,540.11,18514.81,282.18,3314,23573,20259
149,540.16,18512.93,284.07,3341,23328,19987
150,540.22,18511.04,285.95,3034,23438,20404
151,540.27,18509.16,287.84,3483,23863,20380
152,540.33,18507.27,289.72,3144,23056,19912
153,540.38,18505.39,291.6,2760,23193,20433
154,540.44,18503.51,293.49,3051,23051,20000
155,540.49,18501.62,295.37,2910,23188,20278
156,540.55,18499.74,297.25,3123,23346,20223
157,540.6,18497.86,299.13,2790,23149,20359
158,540.66,18495.98,301.01,2626,23341,20715
159,540.71,18494.1,302.89,2991,23433,20442
160,540.77,18492.22,304.77,2889,23354,20465
161,540.82,18490.34,306.65,3391,23859,20468
162,540.88,18488.46,308.53,2624,23496,20872
163,540.93,18486.58,310.41,2806,23579,20773
164,540.99,18484.7,312.29,2748,23525,20777
165,541.04,18482.83,314.16,2732,23806,21074
166,541.1,18480.95,316.04,2624,23229,20605
167,541.15,18479.07,317.92,3211,24070,20859
168,541.21,18477.2,319.79,3099,24142,21043
169,541.26,18475.32,321.67,2191,23087,20896
170,541.32,18473.45,323.54,3217,24073,20856
171,541.37,18471.58,325.42,3051,24039,20988
172,541.43,18469.7,327.29,2956,24309,21353
173,541.48,18467.83,329.16,3298,24452,21154
174,541.54,18465.96,331.04,3199,24458,21259
175,541.59,18464.08,332.91,2959,24372,21413
176,541.65,18462.21,334.78,3195,24561,21366
177,541.7,18460.34,336.65,3158,24574,21416
178,541.76,18458.47,338.52,2884,24717,21833
179,541.81,18456.6,340.39,2710,24792,22082
180,541.87,18454.73,342.26,3657,24671,21014
181,541.92,18452.86,344.13,3608,25187,21579
182,541.98,18451,346,3339,24820,21481
183,542.03,18449.13,347.86,2910,24455,21545
184,542.09,18447.26,349.73,3055,24786,21731
185,542.14,18445.39,351.6,2782,24467,21685
186,542.2,18443.53,353.46,2670,24188,21518
187,542.25,18441.66,355.33,2556,24055,21499
188,542.31,18439.8,357.19,3080,24653,21573
189,542.36,18437.93,359.06,2394,24301,21907
190,542.41,18436.07,360.92,2795,24884,22089
191,542.47,18434.21,362.79,2991,25015,22024
192,542.52,18432.34,364.65,2827,24509,21682
193,542.58,18430.48,366.51,3177,25214,22037
194,542.63,18428.62,368.37,2717,24728,22011
195,542.69,18426.76,370.23,3439,25651,22212
196,542.74,18424.9,372.1,3359,25571,22212
197,542.8,18423.04,373.96,2634,25235,22601
198,542.85,18421.18,375.82,2861,25056,22195
199,542.91,18419.32,377.67,2610,24524,21914
200,542.96,18417.46,379.53,3151,25315,22164
201,543.02,18415.6,381.39,2941,25298,22357
202,543.07,18413.74,383.25,2543,24891,22348
203,543.13,18411.89,385.11,3027,25714,22687
204,543.18,18410.03,386.96,3335,25815,22480
205,543.24,18408.17,388.82,3286,25838,22552
206,543.29,18406.32,390.67,2646,25395,22749
207,543.35,18404.46,392.53,2925,25390,22465
208,543.4,18402.61,394.38,2938,25858,22920
209,543.46,18400.75,396.24,3107,25538,22431
210,543.51,18398.9,398.09,5105,27927,22822
211,543.57,18397.05,399.94,3237,26063,22826
212,543.62,18395.2,401.8,2863,25944,23081
213,543.67,18393.34,403.65,2860,25778,22918
214,543.73,18391.49,405.5,2732,25777,23045
215,543.78,18389.64,407.35,3398,26289,22891
216,543.84,18387.79,409.2,4906,27564,22658
217,543.89,18385.94,411.05,3435,26508,23073
218,543.95,18384.09,412.9,3695,27050,23355
219,544,18382.24,414.75,2853,25709,22856
220,544.06,18380.4,416.6,2809,26063,23254
221,544.11,18378.55,418.44,2896,26239,23343
222,544.17,18376.7,420.29,3240,26507,23267
223,544.22,18374.85,422.14,5306,28767,23461
224,544.28,18373.01,423.98,3150,26673,23523
225,544.33,18371.16,425.83,3246,26776,23530
226,544.39,18369.32,427.68,3335,26717,23382
227,544.44,18367.47,429.52,2943,26377,23434
228,544.5,18365.63,431.36,3016,26768,23752
229,544.55,18363.79,433.21,8271,32191,23920
230,544.6,18361.94,435.05,7911,31478,23567
231,544.66,18360.1,436.89,2869,26507,23638
232,544.71,18358.26,438.73,3187,26964,23777
233,544.77,18356.42,440.58,2772,26177,23405
234,544.82,18354.58,442.42,3609,27412,23803
235,544.88,18352.74,444.26,3218,27056,23838
236,544.93,18350.9,446.1,3241,26575,23334
237,544.99,18349.06,447.94,2613,26918,24305
238,545.04,18347.22,449.78,3082,27270,24188
239,545.1,18345.38,451.61,3387,27277,23890
240,545.15,18343.54,453.45,2952,26848,23896
241,545.21,18341.7,455.29,3275,27044,23769
242,545.26,18339.87,457.13,2417,26312,23895
243,545.31,18338.03,458.96,3082,27012,23930
244,545.37,18336.2,460.8,2702,26664,23962
245,545.42,18334.36,462.63,3322,27253,23931
246,545.48,18332.53,464.47,2756,27246,24490
247,545.53,18330.69,466.3,3449,27881,24432
248,545.59,18328.86,468.13,2870,26975,24105
249,545.64,18327.03,469.97,2397,26576,24179
250,545.7,18325.19,471.8,2384,26600,24216
251,545.75,18323.36,473.63,3185,27383,24198
252,545.81,18321.53,475.46,2819,27317,24498
253,545.86,18319.7,477.29,2369,26455,24086
254,545.92,18317.87,479.12,3785,28075,24290
255,545.97,18316.04,480.95,2485,26949,24464
256,546.02,18314.21,482.78,3510,27796,24286
257,546.08,18312.38,484.61,3219,27870,24651
258,546.13,18310.55,486.44,2554,27357,24803
259,546.19,18308.72,488.27,2983,27111,24128
260,546.24,18306.9,490.1,3312,27623,24311
261,546.3,18305.07,491.92,4125,28862,24737
262,546.35,18303.24,493.75,2823,27819,24996
263,546.41,18301.42,495.58,3252,27907,24655
264,546.46,18299.59,497.4,3813,28278,24465
265,546.51,18297.77,499.23,2751,27262,24511
266,546.57,18295.94,501.05,3200,27723,24523
267,546.62,18294.12,502.87,2823,27424,24601
268,546.68,18292.3,504.7,2679,26675,23996
269,546.73,18290.47,506.52,3100,27428,24328
270,546.79,18288.65,508.34,2971,27365,24394
271,546.84,18286.83,510.16,2972,27181,24209
272,546.9,18285.01,511.98,3457,28111,24654
273,546.95,18283.19,513.81,3162,27254,24092
274,547.01,18281.37,515.63,3212,27706,24494
275,547.06,18279.55,517.44,2583,27632,25049
276,547.11,18277.73,519.26,3531,27744,24213
277,547.17,18275.91,521.08,3146,27702,24556
278,547.22,18274.09,522.9,3241,28154,24913
279,547.28,18272.27,524.72,3559,28097,24538
280,547.33,18270.46,526.53,2969,27727,24758
281,547.39,18268.64,528.35,2728,27566,24838
282,547.44,18266.83,530.17,3108,27400,24292
283,547.49,18265.01,531.98,2852,27524,24672
284,547.55,18263.19,533.8,3301,27948,24647
285,547.6,18261.38,535.61,2633,27271,24638
286,547.66,18259.57,537.43,3075,27136,24061
287,547.71,18257.75,539.24,3043,27848,24805
288,547.77,18255.94,541.05,3357,27665,24308
289,547.82,18254.13,542.86,2832,27754,24922
290,547.88,18252.32,544.68,2883,27318,24435
291,547.93,18250.5,546.49,3548,28273,24725
292,547.98,18248.69,548.3,2508,27478,24970
293,548.04,18246.88,550.11,2925,27590,24665
294,548.09,18245.07,551.92,2645,27588,24943
295,548.15,18243.26,553.73,2972,28160,25188
296,548.2,18241.46,555.54,2517,27182,24665
297,548.26,18239.65,557.34,3351,28581,25230
298,548.31,18237.84,559.15,3036,27926,24890
299,548.36,18236.03,560.96,2347,27110,24763
300,548.42,18234.23,562.77,2610,27832,25222
301,548.47,18232.42,564.57,4069,29254,25185
302,548.53,18230.61,566.38,3504,28739,25235
303,548.58,18228.81,568.18,2813,28062,25249
304,548.64,18227,569.99,3116,28383,25267
305,548.69,18225.2,571.79,2963,28325,25362
306,548.75,18223.4,573.6,2512,27680,25168
307,548.8,18221.59,575.4,2914,28511,25597
308,548.85,18219.79,577.2,3116,28645,25529
309,548.91,18217.99,579,2967,28267,25300
310,548.96,18216.19,580.8,3478,29180,25702
311,549.02,18214.39,582.61,3742,29488,25746
312,549.07,18212.59,584.41,2645,28324,25679
313,549.13,18210.79,586.21,3705,28961,25256
314,549.18,18208.99,588.01,2906,28836,25930
315,549.23,18207.19,589.8,3612,29447,25835
316,549.29,18205.39,591.6,2815,28802,25987
317,549.34,18203.59,593.4,2969,29207,26238
318,549.4,18201.79,595.2,2881,28937,26056
319,549.45,18200,597,3314,29276,25962
320,549.5,18198.2,598.79,3006,29010,26004
321,549.56,18196.4,600.59,2938,29086,26148
322,549.61,18194.61,602.38,3138,29283,26145
323,549.67,18192.81,604.18,2996,29196,26200
324,549.72,18191.02,605.97,3441,29715,26274
325,549.78,18189.23,607.77,3361,30050,26689
326,549.83,18187.43,609.56,3128,29796,26668
327,549.88,18185.64,611.35,3362,30136,26774
328,549.94,18183.85,613.15,3172,29664,26492
329,549.99,18182.06,614.94,3459,30131,26672
330,550.05,18180.26,616.73,3566,30138,26572
331,550.1,18178.47,618.52,3186,29848,26662
332,550.16,18176.68,620.31,3101,30182,27081
333,550.21,18174.89,622.1,3098,29775,26677
334,550.26,18173.1,623.89,3294,29936,26642
335,550.32,18171.32,625.68,3122,29873,26751
336,550.37,18169.53,627.47,3132,30172,27040
337,550.43,18167.74,629.25,4184,31169,26985
338,550.48,18165.95,631.04,2875,29996,27121
339,550.53,18164.17,632.83,3253,30025,26772
340,550.59,18162.38,634.61,3115,30370,27255
341,550.64,18160.59,636.4,3046,30227,27181
342,550.7,18158.81,638.18,3452,30586,27134
343,550.75,18157.02,639.97,2975,30092,27117
344,550.81,18155.24,641.75,3346,30791,27445
345,550.86,18153.46,643.54,2700,29756,27056
346,550.91,18151.67,645.32,3546,30607,27061
347,550.97,18149.89,647.1,3416,30684,27268
348,551.02,18148.11,648.88,3051,30398,27347
349,551.08,18146.33,650.67,3154,30279,27125
350,551.13,18144.54,652.45,3263,30911,27648
351,551.18,18142.76,654.23,2929,30429,27500
352,551.24,18140.98,656.01,2873,30427,27554
353,551.29,18139.2,657.79,2810,30372,27562
354,551.35,18137.43,659.57,2896,30647,27751
355,551.4,18135.65,661.35,3553,31172,27619
356,551.45,18133.87,663.12,2965,30148,27183
357,551.51,18132.09,664.9,3010,30782,27772
358,551.56,18130.31,666.68,2958,31038,28080
359,551.62,18128.54,668.46,3004,30528,27524
360,551.67,18126.76,670.23,2973,30958,27985
361,551.72,18124.99,672.01,3267,31103,27836
362,551.78,18123.21,673.78,2362,30460,28098
363,551.83,18121.44,675.56,2978,30765,27787
364,551.89,18119.66,677.33,2751,30620,27869
365,551.94,18117.89,679.1,2822,30881,28059
366,551.99,18116.12,680.88,3482,31598,28116
367,552.05,18114.34,682.65,3354,31738,28384
368,552.1,18112.57,684.42,2256,30563,28307
369,552.16,18110.8,686.19,2736,31317,28581
370,552.21,18109.03,687.96,2886,31140,28254
371,552.26,18107.26,689.73,2657,30817,28160
372,552.32,18105.49,691.5,3130,31848,28718
373,552.37,18103.72,693.27,2905,31197,28292
374,552.43,18101.95,695.04,3127,31694,28567
375,552.48,18100.18,696.81,2862,31427,28565
376,552.53,18098.41,698.58,3097,31482,28385
377,552.59,18096.65,700.35,3127,31743,28616
378,552.64,18094.88,702.11,3199,32136,28937
379,552.7,18093.11,703.88,3912,32470,28558
380,552.75,18091.35,705.65,2710,31416,28706
381,552.8,18089.58,707.41,3584,32121,28537
382,552.86,18087.82,709.18,2734,31138,28404
383,552.91,18086.05,710.94,3270,31973,28703
384,552.97,18084.29,712.7,3188,31532,28344
385,553.02,18082.52,714.47,3191,32687,29496
386,553.07,18080.76,716.23,2824,31950,29126
387,553.13,18079,717.99,2620,32036,29416
388,553.18,18077.24,719.76,3186,32486,29300
389,553.24,18075.48,721.52,2712,31458,28746
390,553.29,18073.71,723.28,3071,31948,28877
391,553.34,18071.95,725.04,2865,32138,29273
392,553.4,18070.19,726.8,3155,31884,28729
393,553.45,18068.44,728.56,2684,32079,29395
394,553.51,18066.68,730.32,2844,31952,29108
395,553.56,18064.92,732.07,3146,32564,29418
396,553.61,18063.16,733.83,3390,32623,29233
397,553.67,18061.4,735.59,3105,32392,29287
398,553.72,18059.65,737.35,3456,32599,29143
399,553.77,18057.89,739.1,2966,32182,29216
400,553.83,18056.13,740.86,3316,32772,29456
401,553.88,18054.38,742.61,2733,32215,29482
402,553.94,18052.62,744.37,2853,32152,29299
403,553.99,18050.87,746.12,2617,31990,29373
404,554.04,18049.11,747.88,2963,32062,29099
405,554.1,18047.36,749.63,3492,32820,29328
406,554.15,18045.61,751.38,3355,32865,29510
407,554.21,18043.86,753.14,2964,32280,29316
408,554.26,18042.1,754.89,2637,32522,29885
409,554.31,18040.35,756.64,3443,32667,29224
410,554.37,18038.6,758.39,3374,32478,29104
411,554.42,18036.85,760.14,5066,34671,29605
412,554.47,18035.1,761.89,5358,34866,29508
413,554.53,18033.35,763.64,2830,32696,29866
414,554.58,18031.6,765.39,2699,32493,29794
415,554.64,18029.86,767.14,2943,32609,29666
416,554.69,18028.11,768.89,2883,32528,29645
417,554.74,18026.36,770.63,3001,32994,29993
418,554.8,18024.61,772.38,2889,32724,29835
419,554.85,18022.87,774.13,2607,32684,30077
420,554.9,18021.12,775.87,2953,32919,29966
421,554.96,18019.38,777.62,2923,33136,30213
422,555.01,18017.63,779.36,2874,33071,30197
423,555.07,18015.89,781.11,3855,34083,30228
424,555.12,18014.14,782.85,3650,33550,29900
425,555.17,18012.4,784.59,2756,32762,30006
426,555.23,18010.66,786.34,3045,33607,30562
427,555.28,18008.91,788.08,3331,34074,30743
428,555.33,18007.17,789.82,3278,33854,30576
429,555.39,18005.43,791.56,2901,33527,30626
430,555.44,18003.69,793.3,3187,33552,30365
431,555.5,18001.95,795.04,2782,33405,30623
432,555.55,18000.21,796.78,2859,33575,30716
433,555.6,17998.47,798.52,2937,33745,30808
434,555.66,17996.73,800.26,2730,33560,30830
435,555.71,17994.99,802,3495,34513,31018
436,555.76,17993.26,803.74,2909,33647,30738
437,555.82,17991.52,805.47,2810,33335,30525
438,555.87,17989.78,807.21,2573,33419,30846
439,555.92,17988.04,808.95,3658,34672,31014
440,555.98,17986.31,810.68,2634,33673,31039
441,556.03,17984.57,812.42,2651,33672,31021
442,556.09,17982.84,814.15,3307,34853,31546
443,556.14,17981.1,815.89,3373,34820,31447
444,556.19,17979.37,817.62,2921,33962,31041
445,556.25,17977.64,819.36,2817,34009,31192
446,556.3,17975.9,821.09,2981,33878,30897
447,556.35,17974.17,822.82,3538,34984,31446
448,556.41,17972.44,824.55,3586,33939,30353
449,556.46,17970.71,826.28,3204,34345,31141
450,556.51,17968.98,828.02,3378,34495,31117
451,556.57,17967.25,829.75,3313,34541,31228
452,556.62,17965.52,831.48,2930,33975,31045
453,556.68,17963.79,833.21,2774,34181,31407
454,556.73,17962.06,834.93,2923,34275,31352
455,556.78,17960.33,836.66,2919,34155,31236
456,556.84,17958.6,838.39,2877,34313,31436
457,556.89,17956.87,840.12,2662,34095,31433
458,556.94,17955.15,841.84,3123,34325,31202
459,557,17953.42,843.57,3091,34494,31403
460,557.05,17951.7,845.3,3087,34305,31218
461,557.1,17949.97,847.02,3142,34433,31291
462,557.16,17948.24,848.75,3572,34664,31092
463,557.21,17946.52,850.47,3054,33852,30798
464,557.26,17944.8,852.2,2709,34275,31566
465,557.32,17943.07,853.92,2386,33783,31397
466,557.37,17941.35,855.64,3452,35182,31730
467,557.43,17939.63,857.37,2956,34559,31603
468,557.48,17937.91,859.09,2813,34076,31263
469,557.53,17936.18,860.81,2886,34862,31976
470,557.59,17934.46,862.53,2947,34742,31795
471,557.64,17932.74,864.25,2497,33837,31340
472,557.69,17931.02,865.97,2998,34474,31476
473,557.75,17929.3,867.69,2551,34109,31558
474,557.8,17927.58,869.41,3336,35117,31781
475,557.85,17925.87,871.13,2373,34016,31643
476,557.91,17924.15,872.85,3000,34370,31370
477,557.96,17922.43,874.56,2502,33997,31495
478,558.01,17920.71,876.28,3080,34916,31836
479,558.07,17919,878,3233,34816,31583
480,558.12,17917.28,879.71,3017,34962,31945
481,558.17,17915.56,881.43,2732,34565,31833
482,558.23,17913.85,883.14,2605,34513,31908
483,558.28,17912.13,884.86,2932,35008,32076
484,558.33,17910.42,886.57,3024,34945,31921
485,558.39,17908.71,888.29,3994,36093,32099
486,558.44,17906.99,890,2774,34562,31788
487,558.49,17905.28,891.71,2577,35399,32822
488,558.55,17903.57,893.42,2899,35223,32324
489,558.6,17901.86,895.14,3048,35202,32154
490,558.65,17900.15,896.85,2833,35010,32177
491,558.71,17898.44,898.56,3014,35560,32546
492,558.76,17896.73,900.27,3028,35629,32601
493,558.81,17895.02,901.98,3386,35570,32184
494,558.87,17893.31,903.69,4617,36076,31459
495,558.92,17891.6,905.39,3111,34944,31833
496,558.97,17889.89,907.1,2880,35715,32835
497,559.03,17888.18,908.81,3440,35658,32218
498,559.08,17886.47,910.52,2740,35542,32802
499,559.14,17884.77,912.22,3158,36226,33068
500,559.19,17883.06,913.93,3355,36239,32884
501,559.24,17881.36,915.64,2769,36261,33492
502,559.3,17879.65,917.34,3335,36347,33012
503,559.35,17877.95,919.05,3199,36254,33055
504,559.4,17876.24,920.75,3071,36099,33028
505,559.46,17874.54,922.45,2672,35955,33283
506,559.51,17872.83,924.16,2847,36209,33362
507,559.56,17871.13,925.86,2920,36120,33200
508,559.61,17869.43,927.56,2804,36266,33462
509,559.67,17867.73,929.27,2851,35598,32747
510,559.72,17866.03,930.97,3875,36909,33034
511,559.77,17864.33,932.67,3215,36339,33124
512,559.83,17862.62,934.37,2602,36256,33654
513,559.88,17860.93,936.07,3258,36620,33362
514,559.93,17859.23,937.77,2923,36050,33127
515,559.99,17857.53,939.47,3388,36568,33180
516,560.04,17855.83,941.16,2892,36360,33468
517,560.09,17854.13,942.86,3392,36278,32886
518,560.15,17852.43,944.56,3058,36271,33213
519,560.2,17850.74,946.26,2648,36265,33617
520,560.25,17849.04,947.95,5376,38291,32915
521,560.31,17847.34,949.65,2896,36168,33272
522,560.36,17845.65,951.34,2644,35872,33228
523,560.41,17843.95,953.04,2843,36593,33750
524,560.47,17842.26,954.73,3037,36156,33119
525,560.52,17840.56,956.43,3170,36547,33377
526,560.57,17838.87,958.12,2756,36358,33602
527,560.63,17837.18,959.81,3454,37320,33866
528,560.68,17835.49,961.51,2662,36045,33383
529,560.73,17833.79,963.2,3131,36807,33676
530,560.79,17832.1,964.89,2914,36702,33788
531,560.84,17830.41,966.58,2646,36546,33900
532,560.89,17828.72,968.27,3074,36857,33783
533,560.95,17827.03,969.96,3149,36676,33527
534,561,17825.34,971.65,3078,36424,33346
535,561.05,17823.65,973.34,3125,36400,33275
536,561.11,17821.96,975.03,2651,36476,33825
537,561.16,17820.27,976.72,3849,37782,33933
538,561.21,17818.59,978.41,5611,39078,33467
539,561.26,17816.9,980.09,3165,37010,33845
540,561.32,17815.21,981.78,2667,36634,33967
541,561.37,17813.53,983.47,3128,37491,34363
542,561.42,17811.84,985.15,3277,37557,34280
543,561.48,17810.16,986.84,2746,36944,34198
544,561.53,17808.47,988.52,2717,36608,33891
545,561.58,17806.79,990.21,2436,36577,34141
546,561.64,17805.1,991.89,2791,37280,34489
547,561.69,17803.42,993.57,2968,37243,34275
548,561.74,17801.74,995.26,2870,37407,34537
549,561.8,17800.05,996.94,2907,37244,34337
550,561.85,17798.37,998.62,3105,38224,35119
551,561.9,17796.69,1000.3,3298,37628,34330
552,561.96,17795.01,1001.98,3284,38224,34940
553,562.01,17793.33,1003.66,2657,37364,34707
554,562.06,17791.65,1005.34,2856,38100,35244
555,562.11,17789.97,1007.02,2720,37458,34738
556,562.17,17788.29,1008.7,3068,38046,34978
557,562.22,17786.61,1010.38,2717,37669,34952
558,562.27,17784.94,1012.06,2940,37779,34839
559,562.33,17783.26,1013.73,3348,38678,35330
560,562.38,17781.58,1015.41,3102,38095,34993
561,562.43,17779.9,1017.09,2919,38241,35322
562,562.49,17778.23,1018.76,3563,39049,35486
563,562.54,17776.55,1020.44,3261,38790,35529
564,562.59,17774.88,1022.11,3983,39759,35776
565,562.64,17773.2,1023.79,3956,39018,35062
566,562.7,17771.53,1025.46,2817,38206,35389
567,562.75,17769.86,1027.14,3118,38758,35640
568,562.8,17768.18,1028.81,3313,38135,34822
569,562.86,17766.51,1030.48,3577,39100,35523
570,562.91,17764.84,1032.16,2576,37787,35211
571,562.96,17763.17,1033.83,2810,38803,35993
572,563.02,17761.49,1035.5,3149,39153,36004
573,563.07,17759.82,1037.17,2710,38867,36157
574,563.12,17758.15,1038.84,3367,39320,35953
575,563.17,17756.48,1040.51,2762,38388,35626
576,563.23,17754.81,1042.18,2594,38770,36176
577,563.28,17753.15,1043.85,3299,39445,36146
578,563.33,17751.48,1045.52,3261,39115,35854
579,563.39,17749.81,1047.18,3466,39623,36157
580,563.44,17748.14,1048.85,2888,38749,35861
581,563.49,17746.48,1050.52,3481,39896,36415
582,563.55,17744.81,1052.18,3328,39684,36356
583,563.6,17743.14,1053.85,3517,39603,36086
584,563.65,17741.48,1055.51,3056,39532,36476
585,563.7,17739.81,1057.18,2860,39229,36369
586,563.76,17738.15,1058.84,2967,39121,36154
587,563.81,17736.48,1060.51,3107,39257,36150
588,563.86,17734.82,1062.17,2371,38866,36495
589,563.92,17733.16,1063.83,2729,39095,36366
590,563.97,17731.5,1065.5,2655,39665,37010
591,564.02,17729.83,1067.16,3034,40089,37055
592,564.07,17728.17,1068.82,2452,39310,36858
593,564.13,17726.51,1070.48,3071,40209,37138
594,564.18,17724.85,1072.14,2931,39485,36554
595,564.23,17723.19,1073.8,3161,39957,36796
596,564.29,17721.53,1075.46,3107,40354,37247
597,564.34,17719.87,1077.12,3706,40971,37265
598,564.39,17718.21,1078.78,2862,39846,36984
599,564.44,17716.55,1080.44,2155,39078,36923
600,564.5,17714.9,1082.1,3575,40667,37092
601,564.55,17713.24,1083.75,2355,39809,37454
602,564.6,17711.58,1085.41,3175,40539,37364
603,564.66,17709.93,1087.07,2891,40318,37427
604,564.71,17708.27,1088.72,3082,40405,37323
605,564.76,17706.61,1090.38,3359,40726,37367
606,564.81,17704.96,1092.03,2773,40487,37714
607,564.87,17703.31,1093.69,3411,40750,37339
608,564.92,17701.65,1095.34,3104,40751,37647
609,564.97,17700,1096.99,2878,40869,37991
610,565.02,17698.35,1098.65,3302,40991,37689
611,565.08,17696.69,1100.3,2572,40296,37724
