RamanShift (cm-1) ,Intensity
954,441.5665697
956,449.2781437
958,442.9590642
960,433.5999093
962,437.3073327
964,452.7599057
966,445.0084481
968,435.930719
970,456.0188587
972,469.3311306
974,467.0226974
976,458.0143733
978,469.564286
980,490.8865564
982,487.5860069
984,511.0853326
986,523.1761357
988,543.647393
990,559.0605269
992,588.9628817
994,607.6300145
996,633.1565568
998,671.0571501
1000,690.5005337
1002,731.3318607
1004,779.8368746
1006,841.7763866
1008,908.6740863
1010,988.9835819
1012,1075.780895
1014,1191.579987
1016,1312.885419
1018,1452.312466
1020,1611.741393
1022,1823.824877
1024,2114.708355
1026,2407.221485
1028,2761.014149
1030,3137.829371
1032,3424.164481
1034,3687.130274
1036,3910.279903
1038,4050.165464
1040,4205.19821
1042,4460.05835
1044,4832.300652
1046,5177.526385
1048,5489.850583
1050,5641.894214
1052,5586.932668
1054,5384.069951
1056,4947.594816
1058,4405.345453
1060,3848.320236
1062,3399.610402
1064,3132.530602
1066,2924.398498
1068,2786.607031
1070,2783.148452
1072,2789.739723
1074,2847.256457
1076,2984.544375
1078,3125.246338
1080,3352.060546
1082,3562.204197
1084,3883.305753
1086,4264.30442
1088,4661.988253
1090,5108.136301
1092,5438.975943
1094,5710.812596
1096,5768.422281
1098,5463.614707
1100,5056.087351
1102,4420.939975
1104,3832.947267
1106,3382.019342
1108,3046.960061
1110,2822.659522
1112,2648.049728
1114,2540.261916
1116,2433.065053
1118,2329.286825
1120,2251.297798
1122,2139.09383
1124,2002.198555
1126,1882.780192
1128,1761.494566
1130,1610.040328
1132,1497.303346
1134,1364.826955
1136,1254.511465
1138,1200.465331
1140,1134.092009
1142,1068.2504
1144,1039.946593
1146,1008.666586
1148,957.7164804
1150,905.6075602
1152,886.6925174
1154,876.0050363
1156,830.4215306
1158,807.5303676
1160,786.0329073
1162,772.8001581
1164,731.4115532
1166,713.9552773
1168,694.7155248
1170,656.456821
1172,636.9593872
1174,623.9894648
1176,614.6610953
1178,595.7691708
1180,592.9252833
1182,577.209216
1184,567.908314
1186,554.7612952
1188,567.3143826
1190,552.4185627
1192,555.6732007
1194,548.7162268
1196,555.0725423
1198,553.8714445
1200,563.6030403
1202,552.7281584
1204,564.0845815
1206,578.6035436
1208,567.3740699
1210,576.5896304
1212,609.6507991
1214,608.7388452
1216,608.6993774
1218,619.7332025
1220,649.4816695
1222,671.8242725
1224,674.424897
1226,702.9214737
1228,718.3268219
1230,752.004766
1232,773.225435
1234,816.5369466
1236,840.674533
1238,870.3337148
1240,893.6516898
1242,947.3473974
1244,958.5961884
1246,1017.290551
1248,1066.362108
1250,1107.224272
1252,1175.793029
1254,1226.311875
1256,1330.84319
1258,1453.95576
1260,1577.282969
1262,1731.845212
1264,1928.155087
1266,2146.26864
1268,2418.044738
1270,2700.736024
1272,2992.384957
1274,3189.714662
1276,3156.61867
1278,3044.671469
1280,2872.150333
1282,2583.8049
1284,2281.639486
1286,2058.209736
1288,1861.187836
1290,1731.194451
1292,1629.195218
1294,1541.052132
1296,1474.289319
1298,1435.450398
1300,1347.805834
1302,1350.557381
1304,1303.286742
1306,1311.628913
1308,1278.505727
1310,1266.606366
1312,1246.972901
1314,1234.923734
1316,1239.936544
1318,1233.439515
1320,1242.074748
1322,1240.155254
1324,1239.630645
1326,1238.852745
1328,1230.267938
1330,1250.675251
1332,1250.72784
1334,1239.052572
1336,1258.006487
1338,1248.204165
1340,1240.395611
1342,1246.875415
1344,1273.411016
1346,1287.328388
1348,1289.81986
1350,1311.60438
1352,1346.346616
1354,1359.242456
1356,1352.435574
1358,1366.570449
1360,1421.540486
1362,1426.516707
1364,1443.631638
1366,1490.77961
1368,1528.623005
1370,1580.585181
1372,1629.514769
1374,1659.919755
1376,1726.270922
1378,1762.510679
1380,1803.939942
1382,1870.943951
1384,1907.6284
1386,1917.058667
1388,1910.858751
1390,1932.952575
1392,1968.283006
1394,1993.152936
1396,1987.843172
1398,2074.115042
1400,2129.602746
1402,2134.665631
1404,2243.001453
1406,2305.552581
1408,2345.45965
1410,2410.692758
1412,2530.082237
1414,2595.415891
1416,2665.311749
1418,2811.685707
1420,2878.025731
1422,2991.700256
1424,3081.521349
1426,3221.164917
1428,3351.975415
1430,3608.271377
1432,3759.927385
1434,3952.307634
1436,4250.615526
1438,4657.261677
1440,5143.758694
1442,5652.586303
1444,6321.663675
1446,6982.494715
1448,7620.606548
1450,8145.219439
1452,8512.10707
1454,8582.001762
1456,8440.881766
1458,7834.4031
1460,7151.200335
1462,6491.555954
1464,5837.826663
1466,5323.711605
1468,4910.766931
1470,4670.928217
1472,4511.32741
1474,4349.824087
1476,4305.976133
1478,4377.5657
1480,4324.972007
1482,4313.221081
1484,4131.668227
1486,3925.062491
1488,3761.638029
1490,3483.355723
1492,3187.446349
1494,2985.297168
1496,2784.749316
1498,2661.758242
1500,2507.975404
1502,2364.859248
1504,2265.152483
1506,2157.910716
1508,2066.032465
1510,2023.815528
1512,1957.520081
1514,1879.320658
1516,1836.772458
1518,1758.929447
1520,1702.254053
1522,1666.683872
1524,1679.229913
1526,1604.118505
1528,1541.613639
1530,1510.543359
1532,1480.097397
1534,1448.276807
1536,1406.783916
1538,1365.654885
1540,1349.847981
1542,1317.543835
1544,1297.611524
1546,1258.134351
1548,1250.545749
1550,1210.462332
1552,1182.148495
1554,1179.08086
1556,1133.480413
1558,1117.276838
1560,1102.292275
1562,1073.015
1564,1025.056504
1566,1006.691295
1568,1019.325146
1570,993.7472652
1572,966.3114892
1574,978.2963037
1576,949.2939148
1578,934.7268374
1580,921.5881841
1582,899.3831524
1584,899.4518728
1586,871.9066567
1588,878.6166433
1590,850.8081622
1592,836.8982023
1594,838.6095742
1596,838.9280347
1598,847.0767169
1600,832.5711554
1602,836.0785221
1604,834.6565031
1606,829.6038862
1608,846.1572465
1610,843.1195976
1612,831.0549541
1614,873.0197196
1616,830.8747366
1618,850.9335129
1620,809.6875266
1622,816.9619103
1624,812.8360137
1626,798.0602723
1628,763.9574116
1630,767.8549587
1632,741.4658616
1634,741.2364356
1636,734.7463773
1638,739.6631328
1640,714.5209034
1642,711.0947175
1644,682.3949653
1646,677.4957986
1648,681.4983859
1650,666.1566357
1652,668.2755629
1654,664.0336702
1656,662.5374594
1658,668.9685004
1660,673.2347172
1662,656.0836721
1664,655.6728042
1666,670.3335646
1668,653.3255752
1670,651.1916626
1672,643.3584828
1674,648.0742025
1676,649.8028768
1678,642.9983026
1680,644.3883755
1682,655.906969
1684,650.2420046
1686,671.5652278
1688,636.6842782
1690,624.8239235
1692,650.3559018
1694,636.6598801
1696,614.8578305
1698,626.009372
1700,628.8125312
1702,614.1556801
1704,616.5118855
1706,635.5803305
1708,614.283006
1710,608.783404
1712,612.2912507
1714,588.5048546
1716,586.3275117
1718,579.082686
1720,570.28928
1722,556.1720972
1724,568.6413867
1726,561.3086994
1728,537.4929689
1730,537.1563876
1732,523.0428876
1734,520.1451123
1736,518.1430282
1738,507.8853771
1740,503.7141997
1742,498.9829693
1744,499.4934247
1746,498.1026368
1748,485.9796273
1750,499.8812136
1752,481.1988379
1754,470.5109205
1756,475.2984134
1758,467.7977783
1760,456.497228
1762,466.2610063
1764,467.4599897
1766,455.0436679
1768,437.5118815
1770,435.9601274
1772,451.3438575
1774,445.1755875
1776,440.0776805
1778,433.9830046
1780,417.0769355
1782,425.9194458
1784,412.9218577
1786,419.0196502
1788,395.8219092
1790,404.8342383
1792,399.6730989
1794,393.8509667
1796,392.6270349
1798,392.5229161
1800,402.5456405
1802,380.4977737
1804,375.7132593
1806,393.2255634
1808,380.5388959
1810,380.4374672
1812,401.271753
1814,385.7278585
1816,376.7017935
1818,375.7516768
1820,371.8107713
1822,389.6098245
1824,370.7068089
1826,367.6861886
1828,372.4101409
1830,380.8511084
1832,369.8409933
1834,365.5604258
1836,361.5135931
1838,367.5807266
1840,351.1185629
1842,358.6077026
1844,350.8866679
1846,358.2383961
1848,357.1213427
1850,359.4451864
1852,368.0751885
1854,359.6143716
1856,360.8656962
1858,336.5238659
1860,355.1110497
1862,353.8929952
1864,362.588467
1866,334.1710262
1868,340.7519409
1870,341.9295813
1872,350.7599463
1874,361.3010455
1876,361.7146965
1878,364.2426702
1880,351.0602177
1882,372.3751906
1884,347.4739067
1886,349.866113
1888,338.9828538
1890,325.6465693
1892,347.6775655
1894,358.1795534
1896,331.1780979
1898,332.1709961
1900,342.0047881
1902,345.0258282
1904,336.4828182
1906,318.9516248
1908,328.0235063
1910,308.6503638
1912,322.1061161
1914,324.3049472
1916,315.9181588
1918,300.4205216
1920,318.2634623
1922,319.7085919
1924,305.3342904
1926,307.9066398
1928,300.8129757
1930,284.7138236
1932,299.6328706
1934,297.4402136
1936,277.4252379
1938,277.7192618
1940,295.4838612
1942,282.8995443
1944,297.1235173
1946,280.215292
1948,273.9958752
1950,264.6667457
1952,276.8464009
1954,265.9757249
1956,275.2217879
1958,274.1739005
1960,278.2817226
1962,274.3860354
1964,275.2003582
1966,261.7463717
1968,262.9635506
1970,269.5694464
1972,261.178669
1974,250.1107114
1976,246.8994061
1978,250.9602845
1980,256.1843298
1982,244.8975719
1984,243.3582698
1986,224.2340024
1988,229.3603956
1990,231.4479348
1992,220.9213088
1994,216.5390101
1996,234.9428411
1998,215.005877
2000,227.0153686
2002,221.2965843
2004,210.1970964
2006,190.4489092
2008,218.8545739
2010,220.8106645
2012,198.4389129
2014,194.5274909
2016,191.0368417
2018,190.1945934
2020,176.9443784
2022,200.889714
2024,169.2046817
2026,179.3754878
2028,178.0524202
2030,189.6790823
2032,170.8955259
2034,182.3253752
2036,170.3487822
2038,170.7301333
2040,181.1228819
2042,171.3720076
2044,168.1944239
2046,173.2742474
2048,166.7391828
2050,162.6881373
2052,173.4472845
2054,156.532187
2056,162.8129006
2058,163.1027315
2060,167.3892699
2062,154.1117172
2064,168.9136962
2066,183.2034765
2068,149.9322286
2070,180.348953
2072,180.1219835
2074,157.4342964
2076,186.2705627
2078,176.2390815
2080,174.1854067
2082,183.1762464
2084,202.1493401
2086,183.6098923
2088,186.823972
2090,195.9578389
2092,193.5319101
2094,175.3387118
2096,190.0861412
2098,159.4564256
2100,162.3433114
2102,176.4637182
2104,164.1119596
2106,157.5290571
2108,166.2412964
2110,153.4006614
2112,158.9541178
2114,143.6036841
2116,138.1771339
2118,139.551062
2120,156.7200497
2122,156.425159
2124,138.6767578
2126,154.8717138
2128,162.2932576
2130,140.6325938
2132,150.6947565
2134,163.9219962
2136,149.0979972
2138,158.7704516
2140,157.4578197
2142,153.1170938
2144,149.7063878
2146,142.4718007
2148,127.158507
2150,153.9482298
2152,161.5250747
2154,143.8399886
2156,157.0864023
2158,141.2700248
2160,136.7128666
2162,143.7304939
2164,163.4407343
2166,151.5429554
2168,140.1632721
2170,159.9503962
2172,142.7268369
2174,143.6819669
2176,165.6430898
2178,151.9622519
2180,149.5548318
2182,157.8183436
2184,129.6221206
2186,155.2009371
2188,159.1969636
2190,149.8228039
2192,132.6746742
2194,148.430053
2196,142.1986085
2198,142.759744
2200,150.2953054
2202,123.3871979
2204,144.8146695
2206,152.4564975
2208,146.8103288
2210,122.4041888
2212,152.5589531
2214,149.5127589
2216,161.075857
2218,158.3220119
2220,135.4278027
2222,143.7212702
2224,135.5262898
2226,160.254269
2228,152.7318383
2230,164.7558563
2232,169.4643184
2234,169.9040697
2236,191.2107646
2238,181.9764835
2240,184.366396
2242,230.9759978
2244,206.2531789
2246,205.2176803
2248,199.7097539
2250,221.9665581
2252,235.9469146
2254,232.6305981
2256,222.0082085
2258,221.3799617
2260,237.4518828
2262,226.4235033
2264,225.7328102
2266,200.7124148
2268,199.3487054
2270,240.7580848
2272,241.1355928
2274,242.1346257
2276,224.8065267
2278,263.2410509
2280,237.8502564
2282,257.4220667
2284,234.3493506
2286,215.6077063
2288,271.640778
2290,247.9452385
2292,212.7161946
2294,235.1755765
2296,213.0686388
2298,229.9529488
2300,219.8594969
2302,223.6162332
2304,208.6761447
2306,207.342697
2308,186.4540396
2310,192.6472992
2312,178.7810474
2314,174.1670024
2316,171.9749301
2318,202.0753573
2320,188.7179003
2322,180.9151294
2324,219.9651142
2326,212.854141
2328,184.9509102
2330,206.0848114
2332,163.8343021
2334,186.0819002
2336,189.5014598
2338,173.692374
2340,192.6068451
2342,188.4161341
2344,162.4001522
2346,172.1313747
2348,185.3340489
2350,157.6110549
2352,183.5689443
2354,164.1444987
2356,173.7556319
2358,159.9405739
2360,164.3547611
2362,162.8340788
2364,166.3135023
2366,160.4573701
2368,156.7937229
2370,168.7562117
2372,174.7029802
2374,179.3208598
2376,163.1121181
2378,158.7783097
2380,157.8908799
2382,151.7857123
2384,164.5095545
2386,140.5507612
2388,169.5573717
2390,155.4346631
2392,158.275629
2394,174.9624258
2396,149.7306954
2398,163.8906345
2400,168.1708207
2402,159.4739675
2404,176.3640972
2406,191.3536582
2408,179.6195643
2410,179.1694021
2412,188.8080857
2414,198.6586115
2416,207.6028207
2418,186.8156352
2420,174.6484703
2422,188.8532419
2424,197.7804114
2426,208.2296474
2428,211.3571194
2430,212.5878919
2432,218.9837802
2434,232.9014298
2436,220.1725789
2438,229.1058965
2440,224.2805287
2442,225.2300248
2444,248.0180386
2446,246.27004
2448,234.3458314
2450,282.0136354
2452,264.6993863
2454,239.1705185
2456,259.1769328
2458,244.4113456
2460,277.6198906
2462,307.9523467
2464,281.636021
2466,283.8230776
2468,319.1090996
2470,276.1475653
2472,294.5991739
2474,300.9749074
2476,293.9205081
2478,261.8186131
2480,284.6694514
2482,304.4723175
2484,300.5673008
2486,301.6502135
2488,278.1887704
2490,293.6936147
2492,308.2406352
2494,258.16525
2496,284.8989719
2498,299.1831697
2500,254.5111456
2502,325.9441934
2504,289.0246857
2506,356.2472146
2508,324.6301074
2510,304.5207536
2512,347.7383541
2514,319.9905821
2516,337.7844911
2518,372.8250326
2520,363.5204335
2522,392.6860165
2524,402.8675747
2526,369.0300296
2528,405.5156399
2530,446.4846864
2532,446.7297009
2534,504.3053784
2536,509.1267185
2538,537.1708953
2540,550.7249218
2542,534.1749248
2544,603.1439737
2546,615.8564446
2548,614.7594942
2550,646.3896893
2552,579.5349558
2554,612.5177327
2556,583.6655059
2558,580.2797176
2560,542.6168114
2562,582.5617413
2564,515.9499066
2566,493.761622
2568,608.6053586
2570,505.3951885
2572,551.0958624
2574,529.9182792
2576,514.678244
2578,579.6457951
2580,543.3112563
2582,538.917758
2584,528.4460909
2586,581.1839318
2588,536.7009653
2590,566.049156
2592,531.5897286
2594,610.6225132
2596,576.9754283
2598,563.7713697
2600,603.6817967
2602,561.2874821
2604,574.6546308
2606,573.2657696
2608,537.4100777
2610,563.7368919
2612,587.6721269
2614,539.3614697
2616,554.2459825
2618,544.7453417
2620,583.9354555
2622,641.5397353
2624,536.889189
2626,602.6310636
2628,605.5053446
2630,545.1824375
2632,610.6159765
2634,583.4918264
2636,583.1301472
2638,602.1989835
2640,629.3694463
2642,608.2442362
2644,687.7577918
2646,646.1586001
2648,654.4728366
2650,680.9962975
2652,728.5165971
2654,713.4570418
2656,673.2719554
2658,761.9315352
2660,804.2331105
2662,774.4511485
2664,755.5619656
2666,782.6448094
2668,830.6778654
2670,897.1471603
2672,902.8159744
2674,889.3569066
2676,985.5701985
2678,1012.556146
2680,1050.481976
2682,1066.507224
2684,1221.400861
2686,1275.456342
2688,1303.218425
2690,1433.738144
2692,1483.569268
2694,1704.037713
2696,1879.018637
2698,2018.744732
2700,2159.504256
2702,2374.318549
2704,2616.212129
2706,2782.192115
2708,2854.824267
2710,3092.667591
2712,3203.359603
2714,3303.249293
2716,3402.932998
2718,3420.511248
2720,3413.950138
2722,3412.454175
2724,3276.406383
2726,3384.842245
2728,3053.140575
2730,3088.821241
2732,2948.7376
2734,2904.871717
2736,2891.22807
2738,2815.647111
2740,2886.883921
2742,3023.603622
2744,3033.900105
2746,3035.328775
2748,3074.391212
2750,3082.12948
2752,3063.003449
2754,3083.536639
2756,2957.690916
2758,2960.290648
2760,2748.926382
2762,2736.702705
2764,2683.119134
2766,2684.494238
2768,2630.244337
2770,2596.281535
2772,2591.180118
2774,2576.466729
2776,2523.639099
2778,2640.461346
2780,2543.098769
2782,2619.164454
2784,2657.945164
2786,2813.011518
2788,2795.767893
2790,2953.718871
2792,3068.010055
2794,3087.708722
2796,3241.478753
2798,3436.992288
2800,3598.761578
